item,url,Date
Marinated Artichoke Hearts,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Mediterranean Salad Mix,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Chopped Hard-Cooked Egg,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cottage Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Feta Cheese Crumbles,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Nonfat Greek Yogurt,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Nonfat Strawberry Yogurt,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Shredded Cheddar Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Tuna,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Fire Roasted Exotic Grains,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Applesauce,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cantaloupe,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cucumbers,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Edamame,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Fresh Baby Arugula	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Honeydew Melon,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Kale Greens Mix,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Pepperoncini,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Pickled Carrot & Daikon,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Pineapple Slices	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Red Grapes,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Roasted Corn,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Balsamic Vinaigrette,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Creamy Caesar Dressing,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Fat-Free French Dressing,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Ranch Dressing,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Whipped Butter	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Honey Balsamic Glaze,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Strawberry Cream Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Vegetable Cream Cheese	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Whipped Cream Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Coconut & Ginger Dressing,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Black Bean & Roasted Corn Salsa,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Smoked Beef Brisket,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Roasted Garlic Potatoes,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Capri Blend Vegetables,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Farro,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Roasted Carrots,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Sesame Noodle Salad,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Southwest Quinoa & Corn Salad,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Citrus Water,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Chopped Hard-Cooked Egg,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cottage Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Diced Chicken,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Feta Cheese Crumbles,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Nonfat Greek Yogurt,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Nonfat Strawberry Yogurt,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Shredded Cheddar Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Tofu,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Croutons,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Granola,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Rotini,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Applesauce,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Baby Spinach,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Black Olives,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Blueberries	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Broccoli Florets,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cantaloupe,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cauliflower Florets,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Corn,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cucumbers,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Garbanzo Beans,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Grape Tomatoes,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Green Peas,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Honeydew Melon,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Pineapple Chunks,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Pineapple Slices	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
